ID,MS,NMSP,VE
10197,0.712562189,41.99014925,5.618905473
10198,0.716972281,54.10635394,5.093390192
10199,0.712982456,44.19982456,4.2
10200,0.738548387,34.56635484,4.682258065
10201,0.737222222,44.20725926,4.366666667
10202,0.673041475,52.84135945,4.941705069
10203,0.575437063,26.68987762,5.001923077
10204,0.614872263,50.38596715,6.104379562
10205,0.740889831,49.93088983,5.331355932
10206,0.717941176,38.44070588,7.489117647
10207,0.657649254,33.03507463,3.633208955
10208,0.689108911,43.42980198,3.903465347
10209,0.742808219,32.21616438,3.591780822
10210,0.712933754,50.57763407,5.556782334
10211,0.598117647,37.74272941,4.529647059
10212,0.542654028,29.24668246,3.678672986
10213,0.65273224,25.82939891,3.568852459
10214,0.684841629,53.14977376,4.846153846
10215,0.502222222,12.07111111,2.632222222
10216,0.551058201,21.85089947,2.728042328
10217,0.62879257,26.20916409,2.685758514
10218,0.707058824,37.48847059,3.006470588
10219,0.429166667,10.05472222,1.55
10220,0.721784232,33.07917012,4.5406639
10221,0.652264151,38.38483019,4.606037736
10222,0.726179245,51.84424528,5.563207547
10223,0.708090615,47.55951456,6.420711974
10224,0.644101124,39.91511236,4.951685393
10225,0.719950739,50.91694581,4.987192118
10226,0.702807971,37.38498188,5.059963768
10227,0.712025316,46.46585443,4.928164557
10228,0.725,38.44915789,4.119473684
10229,0.654103343,42.56854103,5.886930091
10230,0.63136646,24.91170807,2.667080745
10231,0.494886364,21.54,2.623863636
10232,0.636096257,36.54005348,3.340641711
10233,0.682183908,37.23678161,3.713218391
10234,0.664488636,32.81051136,3.793181818
10235,0.70188,34.11996,4.994
10236,0.676140351,32.87550877,4.144210526
10237,0.490273038,29.8156314,4.135836177
10238,0.601937984,28.92496124,3.909302326
10239,0.68513986,31.40094406,4.220979021
10240,0.689102564,34.20852564,4.996153846
10241,0.680882353,35.60415441,4.622794118
10242,0.707961783,42.50796178,6.301910828
10243,0.701149425,31.6345977,3.154597701
10244,0.678492647,32.97540441,5.061397059
10245,0.7066,51.45136,7.1392
10246,0.556818182,21.09454545,4.432954545
10247,0.655769231,24.70423077,2.5
10248,0.692134831,37.63634831,3.838764045
10249,0.713157895,54.91386997,4.67120743
10250,0.711093248,37.96350482,3.748553055
10251,0.641315789,41.42989474,5.942631579
10252,0.683814103,22.54650641,4.701923077
10253,0.695860927,31.20324503,4.236754967
10254,0.708637874,34.88827243,3.981395349
10255,0.675280899,42.20331461,5.531460674
10257,0.706041131,34.82143959,6.631619537
10258,0.714329268,46.94426829,4.886585366
10259,0.691025641,54.52964744,5.198397436
10260,0.680392157,31.8645098,3.415359477
10261,0.716820276,54.56603687,6.615207373
10262,0.604137931,43.82289655,5.666206897
10263,0.673805147,36.22123162,5.532904412
10264,0.704983389,37.00554817,3.530564784
10265,0.677399381,53.69993808,6.719504644
10266,0.687258065,26.37403226,4.861290323
10267,0.710597015,49.44722388,4.78358209
10268,0.717798595,43.15440281,5.648711944
10269,0.72252907,41.47026163,6.346511628
10270,0.661357702,43.47436031,5.330548303
10275,0.743602694,46.21377104,4.24983165
10277,0.726428571,33.12985714,4.050357143
10278,0.742075472,39.13475472,5.021886792
10279,0.732490975,40.23707581,4.315523466
10280,0.73683274,43.29644128,5.171174377
10284,0.739093407,40.12978022,4.790384615
10286,0.742911877,49.25478927,5.388505747
10288,0.738530466,38.83655914,6.303584229
10292,0.743945313,41.17292969,5.452734375
10293,0.737719298,31.5082807,6.246315789
10296,0.705895197,31.89851528,5.798253275
10297,0.712133891,49.27209205,6.605439331
10300,0.727642276,46.63495935,5.017479675
